SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@DurationSet1;@DurationSet2;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;total_A;total_B;Team1;Team2
27;2;1;41;5;12;19;2;21.0;14.0;21.0;17.0;1061.0;1019.0;14.8;0.0;6.6;0.0;18.7;15.0;1;2;0;Tina/Anastasija;J. Dong/Wang
16;5;2;38;1;7;19;2;22.0;20.0;21.0;16.0;1358.0;1022.0;19.9;0.0;24.0;0.0;48.2;11.0;0;2;0;Liliana/Paula;Müller/Tillmann
28;11;2;41;4;7;23;2;22.0;20.0;21.0;16.0;1358.0;1022.0;19.9;0.0;24.0;0.0;48.2;17.0;1;2;0;Müller/Tillmann;Liliana/Paula
80;5;5;110;4;15;87;4;22.0;20.0;17.0;21.0;1288.0;1319.0;20.5;0.0;22.5;0.0;43.6;26.0;0;2;1;Carol/Barbara;Tainá/Victoria
15;6;0;31;1;5;20;7;21.0;16.0;21.0;14.0;1111.0;1021.0;14.4;0.0;5.8;0.0;11.5;13.0;0;2;0;Sliwka/Wachowicz;Hüberli/Brunner
21;8;7;41;4;7;16;0;21.0;16.0;21.0;14.0;1111.0;1021.0;14.4;0.0;5.8;0.0;11.5;12.0;1;2;0;Hüberli/Brunner;Sliwka/Wachowicz
21;4;1;30;2;8;20;4;21.0;23.0;8.0;21.0;1366.0;901.0;14.8;0.0;6.6;0.0;18.7;15.0;0;0;2;Hermannova/Stochlova;Scoles/Flint
22;2;4;43;8;11;24;1;21.0;23.0;8.0;21.0;1366.0;901.0;14.8;0.0;6.6;0.0;18.7;14.0;1;0;2;Scoles/Flint;Hermannova/Stochlova
27;8;4;54;0;7;23;1;19.0;21.0;22.0;20.0;1136.0;1156.0;19.9;0.0;24.0;0.0;48.2;21.0;1;2;1;Agatha/Rebecca;Ludwig/Lippmann
23;11;1;51;8;13;15;4;19.0;21.0;22.0;20.0;1136.0;1156.0;19.9;0.0;24.0;0.0;48.2;12.0;0;2;1;Ludwig/Lippmann;Agatha/Rebecca
19;3;3;34;2;8;24;2;21.0;23.0;12.0;21.0;1319.0;930.0;20.5;0.0;22.5;0.0;43.6;22.0;0;0;2;Pavan/McBain;Nuss/Brasher
31;5;2;43;2;10;32;3;21.0;23.0;12.0;21.0;1319.0;930.0;20.5;0.0;22.5;0.0;43.6;10.0;1;0;2;Nuss/Brasher;Pavan/McBain
29;3;3;45;5;18;21;2;25.0;23.0;21.0;18.0;1301.0;1037.0;14.0;0.0;5.1;0.0;7.6;18.0;1;2;0;Ana Patrícia/Duda;Xue/X. Y. Xia
30;6;2;42;0;6;24;3;25.0;23.0;21.0;18.0;1301.0;1037.0;14.0;0.0;5.1;0.0;7.6;16.0;0;2;0;Xue/X. Y. Xia;Ana Patrícia/Duda
27;4;5;41;4;5;20;2;18.0;21.0;17.0;21.0;1140.0;1028.0;18.3;0.0;15.6;0.0;37.8;20.0;1;0;2;Stam/Schoon;Cannon/Kraft
21;3;2;36;1;7;11;5;18.0;21.0;17.0;21.0;1140.0;1028.0;18.3;0.0;15.6;0.0;37.8;13.0;0;0;2;Cannon/Kraft;Stam/Schoon
27;4;2;50;3;12;34;4;21.0;18.0;15.0;21.0;1256.0;1147.0;16.7;0.0;11.8;0.0;25.6;19.0;1;2;1;Mariafe/Clancy;Gottardi/Menegatti
32;13;4;51;6;16;31;2;21.0;18.0;15.0;21.0;1256.0;1147.0;16.7;0.0;11.8;0.0;25.6;17.0;0;2;1;Gottardi/Menegatti;Mariafe/Clancy
26;3;4;40;2;11;28;1;14.0;21.0;11.0;21.0;1036.0;1082.0;14.0;0.0;5.1;0.0;7.6;17.0;1;0;2;Melissa/Brandie;Esmée/Zoé
20;6;1;27;0;8;23;4;14.0;21.0;11.0;21.0;1036.0;1082.0;14.0;0.0;5.1;0.0;7.6;11.0;0;0;2;Esmée/Zoé;Melissa/Brandie
31;7;3;48;4;8;19;5;19.0;21.0;21.0;16.0;1060.0;992.0;14.0;0.0;5.1;0.0;7.6;22.0;0;2;1;Tina/Anastasija;Hughes/Cheng
34;5;5;55;2;8;25;3;19.0;21.0;21.0;16.0;1060.0;992.0;14.0;0.0;5.1;0.0;7.6;27.0;1;2;1;Hughes/Cheng;Tina/Anastasija
34;5;5;57;5;12;36;5;19.0;21.0;24.0;22.0;1117.0;1311.0;18.3;0.0;15.6;0.0;37.8;29.0;1;1;2;Tainá/Victoria;Müller/Tillmann
39;8;5;57;1;5;32;5;19.0;21.0;24.0;22.0;1117.0;1311.0;18.3;0.0;15.6;0.0;37.8;21.0;0;1;2;Müller/Tillmann;Tainá/Victoria
32;7;3;47;5;16;27;2;21.0;17.0;27.0;25.0;1137.0;1647.0;14.0;0.0;5.1;0.0;7.6;27.0;1;2;0;Hüberli/Brunner;Scoles/Flint
26;5;3;43;1;6;29;2;21.0;17.0;27.0;25.0;1137.0;1647.0;14.0;0.0;5.1;0.0;7.6;17.0;0;2;0;Scoles/Flint;Hüberli/Brunner
28;6;3;37;0;5;19;1;22.0;24.0;14.0;21.0;1316.0;1027.0;16.7;0.0;11.8;0.0;25.6;18.0;0;0;2;Agatha/Rebecca;Nuss/Brasher
29;1;1;44;0;9;24;3;22.0;24.0;14.0;21.0;1316.0;1027.0;16.7;0.0;11.8;0.0;25.6;24.0;1;0;2;Nuss/Brasher;Agatha/Rebecca
26;1;1;41;5;11;22;2;21.0;16.0;21.0;16.0;941.0;1090.0;14.9;0.0;3.6;0.0;11.2;18.0;1;2;0;Ana Patrícia/Duda;Stam/Schoon
24;4;2;33;2;9;17;1;21.0;16.0;21.0;16.0;941.0;1090.0;14.9;0.0;3.6;0.0;11.2;16.0;0;2;0;Stam/Schoon;Ana Patrícia/Duda
29;7;4;42;1;7;20;0;22.0;20.0;21.0;16.0;1315.0;1282.0;17.1;0.0;3.6;0.0;15.1;16.0;1;2;0;Mariafe/Clancy;Melissa/Brandie
22;5;0;37;2;10;19;4;22.0;20.0;21.0;16.0;1315.0;1282.0;17.1;0.0;3.6;0.0;15.1;18.0;0;2;0;Melissa/Brandie;Mariafe/Clancy
24;6;0;31;3;8;16;1;21.0;14.0;21.0;16.0;1026.0;983.0;19.7;0.0;9.2;0.0;10.1;15.0;0;2;0;Tainá/Victoria;Hughes/Cheng
27;0;1;41;1;6;25;0;21.0;14.0;21.0;16.0;1026.0;983.0;19.7;0.0;9.2;0.0;10.1;19.0;1;2;0;Hughes/Cheng;Tainá/Victoria
33;10;4;47;0;1;37;0;17.0;21.0;21.0;19.0;1155.0;1255.0;15.9;0.0;2.9;0.0;5.8;17.0;0;1;2;Hüberli/Brunner;Nuss/Brasher
30;3;0;54;7;24;35;4;17.0;21.0;21.0;19.0;1155.0;1255.0;15.9;0.0;2.9;0.0;5.8;22.0;1;1;2;Nuss/Brasher;Hüberli/Brunner
20;5;2;33;3;12;17;4;21.0;17.0;21.0;14.0;1126.0;1238.0;15.3;0.0;11.3;0.0;23.0;15.0;0;2;0;Mariafe/Clancy;Ana Patrícia/Duda
25;2;4;40;3;12;17;2;21.0;17.0;21.0;14.0;1126.0;1238.0;15.3;0.0;11.3;0.0;23.0;14.0;1;2;0;Ana Patrícia/Duda;Mariafe/Clancy
61;7;5;99;5;23;62;5;18.0;21.0;21.0;12.0;1075.0;895.0;15.3;0.0;13.8;0.0;27.0;21.0;0;2;1;Nuss/Brasher;Hughes/Cheng
29;7;5;50;1;5;25;1;21.0;15.0;19.0;21.0;1063.0;1420.0;18.4;0.0;25.5;0.0;46.1;26.0;0;1;2;Mariafe/Clancy;Nuss/Brasher
36;4;1;49;3;7;35;4;21.0;15.0;19.0;21.0;1063.0;1420.0;18.4;0.0;25.5;0.0;46.1;17.0;1;1;2;Nuss/Brasher;Mariafe/Clancy
34;3;0;39;0;2;26;2;16.0;21.0;22.0;24.0;956.0;1376.0;14.9;0.1;17.3;0.1;38.9;21.0;0;0;2;Ana Patrícia/Duda;Hughes/Cheng
27;2;2;44;6;10;21;0;16.0;21.0;22.0;24.0;956.0;1376.0;14.9;0.1;17.3;0.1;38.9;23.0;1;0;2;Hughes/Cheng;Ana Patrícia/Duda
38;7;1;55;4;7;22;1;21.0;12.0;18.0;21.0;751.0;958.0;17.4;0.0;7.8;0.0;15.5;29.0;1;2;1;Ana Patrícia/Duda;Scoles/Flint
31;3;1;47;2;8;20;0;21.0;12.0;18.0;21.0;751.0;958.0;17.4;0.0;7.8;0.0;15.5;21.0;0;2;1;Scoles/Flint;Ana Patrícia/Duda
19;3;3;30;1;4;21;2;21.0;9.0;22.0;20.0;818.0;1247.0;17.4;0.0;7.8;0.0;15.5;11.0;0;2;0;Ahtiainen/Lahti;Hüberli/Brunner
31;2;2;42;2;9;23;3;21.0;9.0;22.0;20.0;818.0;1247.0;17.4;0.0;7.8;0.0;15.5;19.0;1;2;0;Hüberli/Brunner;Ahtiainen/Lahti
19;0;1;30;3;9;15;1;21.0;13.0;21.0;16.0;990.0;1153.0;18.7;0.0;9.3;0.0;19.1;16.0;0;2;0;Gottardi/Menegatti;Nuss/Brasher
25;1;1;41;8;17;18;1;21.0;13.0;21.0;16.0;990.0;1153.0;18.7;0.0;9.3;0.0;19.1;10.0;1;2;0;Nuss/Brasher;Gottardi/Menegatti
33;5;7;58;3;7;34;4;18.0;21.0;25.0;23.0;1014.0;1379.0;18.7;0.0;9.3;0.0;19.1;27.0;1;2;1;Mariafe/Clancy;Cannon/Kraft
37;8;4;55;3;14;26;7;18.0;21.0;25.0;23.0;1014.0;1379.0;18.7;0.0;9.3;0.0;19.1;23.0;0;2;1;Cannon/Kraft;Mariafe/Clancy
17;3;3;28;1;5;20;5;9.0;21.0;18.0;21.0;839.0;1165.0;20.4;0.0;10.0;0.0;19.4;13.0;0;0;2;Melissa/Brandie;Stam/Schoon
25;5;6;41;3;9;23;3;9.0;21.0;18.0;21.0;839.0;1165.0;20.4;0.0;10.0;0.0;19.4;16.0;1;0;2;Stam/Schoon;Melissa/Brandie
49;6;7;77;7;17;53;7;21.0;19.0;21.0;16.0;1332.0;1288.0;20.4;0.0;10.0;0.0;19.4;17.0;0;2;0;Agatha/Rebecca;Carol/Barbara
18;1;1;30;0;1;27;5;21.0;17.0;21.0;12.0;1230.0;946.0;19.4;0.0;11.1;0.0;17.6;22.0;0;2;0;Placette/Richard;Müller/Tillmann
26;4;5;41;2;8;28;1;21.0;17.0;21.0;12.0;1230.0;946.0;19.4;0.0;11.1;0.0;17.6;12.0;1;2;0;Müller/Tillmann;Placette/Richard
23;2;3;40;3;10;11;2;21.0;18.0;21.0;14.0;1049.0;926.0;21.3;0.0;10.4;0.0;22.3;16.0;1;2;0;Ana Patrícia/Duda;Hüberli/Brunner
23;9;3;34;2;6;14;3;21.0;18.0;21.0;14.0;1049.0;926.0;21.3;0.0;10.4;0.0;22.3;18.0;0;2;0;Hüberli/Brunner;Ana Patrícia/Duda
26;4;1;45;2;7;21;5;24.0;26.0;21.0;13.0;1382.0;902.0;21.3;0.0;10.4;0.0;22.3;28.0;0;2;1;Ahtiainen/Lahti;Scoles/Flint
38;5;5;59;8;16;27;1;24.0;26.0;21.0;13.0;1382.0;902.0;21.3;0.0;10.4;0.0;22.3;17.0;1;2;1;Scoles/Flint;Ahtiainen/Lahti
22;6;3;34;0;3;16;1;21.0;13.0;21.0;19.0;930.0;1090.0;21.8;0.0;12.1;0.0;20.9;20.0;0;2;0;Mariafe/Clancy;Nuss/Brasher
23;2;1;40;2;12;17;3;21.0;13.0;21.0;19.0;930.0;1090.0;21.8;0.0;12.1;0.0;20.9;13.0;1;2;0;Nuss/Brasher;Mariafe/Clancy
45;4;0;50;4;19;45;2;21.0;16.0;16.0;21.0;1075.0;1137.0;21.8;0.0;12.1;0.0;20.9;29.0;1;2;1;Gottardi/Menegatti;Cannon/Kraft
34;0;2;51;4;14;41;0;21.0;16.0;16.0;21.0;1075.0;1137.0;21.8;0.0;12.1;0.0;20.9;13.0;0;2;1;Cannon/Kraft;Gottardi/Menegatti
29;4;2;41;4;6;25;1;18.0;21.0;18.0;21.0;1288.0;1337.0;19.3;0.0;26.4;0.0;43.9;17.0;1;0;2;Carol/Barbara;Melissa/Brandie
24;1;2;37;2;11;24;2;18.0;21.0;18.0;21.0;1288.0;1337.0;19.3;0.0;26.4;0.0;43.9;15.0;0;0;2;Melissa/Brandie;Carol/Barbara
39;7;2;54;0;4;31;1;21.0;19.0;19.0;21.0;1108.0;1185.0;19.3;0.0;26.4;0.0;43.9;28.0;1;1;2;Agatha/Rebecca;Stam/Schoon
33;4;1;53;0;17;24;2;21.0;19.0;19.0;21.0;1108.0;1185.0;19.3;0.0;26.4;0.0;43.9;25.0;0;1;2;Stam/Schoon;Agatha/Rebecca
20;3;3;38;3;4;25;1;18.0;21.0;19.0;21.0;1074.0;1316.0;21.5;0.0;17.2;0.0;29.9;14.0;0;0;2;Müller/Tillmann;Hughes/Cheng
29;4;1;41;2;5;26;3;18.0;21.0;19.0;21.0;1074.0;1316.0;21.5;0.0;17.2;0.0;29.9;21.0;1;0;2;Hughes/Cheng;Müller/Tillmann
21;6;2;34;2;3;16;3;18.0;21.0;16.0;21.0;946.0;1085.0;21.5;0.0;17.2;0.0;29.9;14.0;0;0;2;Placette/Richard;Ludwig/Lippmann
23;8;3;42;4;6;13;1;18.0;21.0;16.0;21.0;946.0;1085.0;21.5;0.0;17.2;0.0;29.9;16.0;1;0;2;Ludwig/Lippmann;Placette/Richard
28;5;2;41;4;12;16;1;22.0;20.0;21.0;15.0;1177.0;1030.0;19.4;0.0;25.2;0.0;43.9;22.0;1;2;0;Hüberli/Brunner;Scoles/Flint
24;4;2;37;1;8;18;2;22.0;20.0;21.0;15.0;1177.0;1030.0;19.4;0.0;25.2;0.0;43.9;20.0;0;2;0;Scoles/Flint;Hüberli/Brunner
26;2;7;40;3;6;21;1;21.0;13.0;21.0;13.0;870.0;931.0;19.4;0.0;25.2;0.0;43.9;20.0;1;2;0;Ana Patrícia/Duda;Ahtiainen/Lahti
20;2;1;28;1;7;14;7;21.0;13.0;21.0;13.0;870.0;931.0;19.4;0.0;25.2;0.0;43.9;12.0;0;2;0;Ahtiainen/Lahti;Ana Patrícia/Duda
24;4;4;42;3;7;30;3;16.0;21.0;25.0;27.0;1173.0;1573.0;21.1;0.0;16.3;0.0;31.0;14.0;0;0;2;Mariafe/Clancy;Gottardi/Menegatti
31;7;3;47;5;13;29;4;16.0;21.0;25.0;27.0;1173.0;1573.0;21.1;0.0;16.3;0.0;31.0;22.0;1;0;2;Gottardi/Menegatti;Mariafe/Clancy
52;7;5;81;2;12;44;5;21.0;18.0;22.0;20.0;1170.0;1153.0;21.1;0.0;16.3;0.0;31.0;24.0;0;2;0;Cannon/Kraft;Nuss/Brasher
26;1;2;42;1;6;27;1;21.0;18.0;21.0;16.0;1249.0;1165.0;20.6;0.0;14.4;0.0;28.4;23.0;1;2;0;Carol/Barbara;Stam/Schoon
26;4;1;34;4;6;23;2;21.0;18.0;21.0;16.0;1249.0;1165.0;20.6;0.0;14.4;0.0;28.4;17.0;0;2;0;Stam/Schoon;Carol/Barbara
15;5;2;33;1;4;29;4;21.0;13.0;21.0;18.0;1049.0;1329.0;20.6;0.0;14.4;0.0;28.4;15.0;0;2;0;Agatha/Rebecca;Melissa/Brandie
25;6;4;40;5;11;29;2;21.0;13.0;21.0;18.0;1049.0;1329.0;20.6;0.0;14.4;0.0;28.4;10.0;1;2;0;Melissa/Brandie;Agatha/Rebecca
26;4;4;39;0;4;21;5;21.0;19.0;21.0;19.0;1135.0;1298.0;15.1;0.0;7.4;0.0;17.3;21.0;0;2;0;Placette/Richard;Hughes/Cheng
26;3;5;41;3;7;26;4;21.0;19.0;21.0;19.0;1135.0;1298.0;15.1;0.0;7.4;0.0;17.3;24.0;1;2;0;Hughes/Cheng;Placette/Richard
52;7;14;93;6;14;50;14;21.0;11.0;14.0;21.0;937.0;1061.0;16.8;0.0;10.7;0.0;20.2;20.0;0;2;1;Ludwig/Lippmann;Müller/Tillmann
37;8;2;54;7;13;20;1;21.0;14.0;19.0;21.0;986.0;1299.0;11.8;0.0;2.0;0.0;11.9;28.0;1;2;1;Melissa/Brandie;Müller/Tillmann
27;6;1;47;2;6;24;2;21.0;14.0;19.0;21.0;986.0;1299.0;11.8;0.0;2.0;0.0;11.9;24.0;0;2;1;Müller/Tillmann;Melissa/Brandie
