SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;Team1;Team2
7;20;5;1;32;0;3;15;1;41;25.7;0.0;14.3;0.0;17.6;14.0;Schützenhöfer/Plesiutschnig;Tainá/Victoria
5;26;5;1;42;3;9;18;0;38;25.7;0.0;14.3;0.0;17.6;19.0;Tainá/Victoria;Schützenhöfer/Plesiutschnig
11;23;3;0;30;3;6;18;2;51;25.7;0.0;14.3;0.0;17.6;22.0;Sude/Schneider;Esmée/Zoé
6;24;1;2;42;5;7;19;0;46;25.7;0.0;14.3;0.0;17.6;22.0;Esmée/Zoé;Sude/Schneider
7;24;2;3;42;4;7;24;0;45;25.7;0.0;14.3;0.0;17.6;18.0;Liliana/Paula;Sliwka/Wachowicz
9;23;6;2;35;3;5;19;3;52;25.7;0.0;14.3;0.0;17.6;17.0;Sliwka/Wachowicz;Liliana/Paula
8;24;4;2;37;2;7;18;3;48;26.3;0.0;15.3;0.0;19.8;18.0;Andressa/Vitoria;Kolinske/Harward
5;25;3;4;40;2;4;20;2;44;26.3;0.0;15.3;0.0;19.8;17.0;Kolinske/Harward;Andressa/Vitoria
11;40;7;2;49;1;9;33;1;78;26.3;0.0;15.3;0.0;19.8;24.0;Ittlinger/Borger;Paulikiene/Raupelyte
4;35;4;1;55;4;29;34;2;59;26.3;0.0;15.3;0.0;19.8;15.0;Paulikiene/Raupelyte;Ittlinger/Borger
6;20;4;1;33;1;3;23;3;36;26.3;0.0;15.3;0.0;19.8;17.0;Talita/Thamela;Xue/X. Y. Xia
4;29;6;3;40;2;3;19;0;44;26.3;0.0;15.3;0.0;19.8;15.0;Xue/X. Y. Xia;Talita/Thamela
4;26;6;0;42;4;4;13;0;37;26.3;0.0;15.3;0.0;19.8;21.0;Ludwig/Lippmann;Gutierrez/Flores
11;21;5;0;32;2;3;9;0;41;26.3;0.0;15.3;0.0;19.8;26.0;Gutierrez/Flores;Ludwig/Lippmann
8;29;8;3;48;2;10;23;5;56;26.2;0.0;12.9;0.0;18.0;20.0;Taiana Lima/Hegeile;Gottardi/Menegatti
5;30;7;5;51;0;6;24;3;47;26.2;0.0;12.9;0.0;18.0;18.0;Gottardi/Menegatti;Taiana Lima/Hegeile
9;20;3;0;28;1;2;11;3;42;26.2;0.0;12.9;0.0;18.0;25.0;Klinger D./Klinger R.;Sinisalo, S./Parkkinen
3;25;4;3;41;1;1;15;0;34;26.2;0.0;12.9;0.0;18.0;20.0;Sinisalo, S./Parkkinen;Klinger D./Klinger R.
8;18;4;3;27;0;1;16;8;41;25.7;0.4;8.0;0.4;15.1;11.0;Carro/Lobato;Ahtiainen/Lahti
4;19;2;10;42;1;5;20;1;38;25.7;0.4;8.0;0.4;15.1;19.0;Ahtiainen/Lahti;Carro/Lobato
8;19;2;4;37;2;12;23;3;50;26.2;0.0;12.9;0.0;18.0;13.0;M.M. Lin/J. J. Zeng;Placette/Richard
7;27;5;5;40;0;4;28;1;56;26.2;0.0;12.9;0.0;18.0;19.0;Placette/Richard;M.M. Lin/J. J. Zeng
3;34;8;2;49;2;8;37;5;59;25.7;0.4;8.0;0.4;15.1;22.0;Tainá/Victoria;Ishii/Mizoe
7;29;4;5;49;0;5;34;2;58;25.7;0.4;8.0;0.4;15.1;14.0;Ishii/Mizoe;Tainá/Victoria
10;17;4;1;31;0;4;17;1;41;25.7;0.4;8.0;0.4;15.1;21.0;Schützenhöfer/Plesiutschnig;Hermannova/Stochlova
5;26;7;1;41;7;9;22;1;44;25.7;0.4;8.0;0.4;15.1;12.0;Hermannova/Stochlova;Schützenhöfer/Plesiutschnig
6;25;4;1;43;2;4;13;3;49;25.7;0.4;8.0;0.4;15.1;25.0;Liliana/Paula;Esmée/Zoé
9;31;7;3;47;3;7;14;1;48;25.7;0.4;8.0;0.4;15.1;31.0;Esmée/Zoé;Liliana/Paula
7;25;4;1;35;2;4;18;2;47;25.7;0.4;8.0;0.4;15.1;23.0;Sude/Schneider;Sliwka/Wachowicz
6;27;2;4;41;0;5;20;1;47;25.7;0.4;8.0;0.4;15.1;15.0;Sliwka/Wachowicz;Sude/Schneider
9;15;4;1;26;0;5;17;3;38;24.7;0.1;11.2;0.1;22.3;16.0;Sinisalo, S./Parkkinen;Sliwka/Wachowicz
1;26;6;3;41;3;8;24;1;38;24.7;0.1;11.2;0.1;22.3;5.0;Sliwka/Wachowicz;Sinisalo, S./Parkkinen
8;39;3;2;54;2;6;34;3;66;24.7;0.1;11.2;0.1;22.3;28.0;Hermannova/Stochlova;Paulikiene/Raupelyte
9;41;5;3;58;3;12;28;2;65;24.7;0.1;11.2;0.1;22.3;29.0;Paulikiene/Raupelyte;Hermannova/Stochlova
8;33;4;1;42;0;4;17;4;70;26.2;0.0;12.5;0.0;14.4;25.0;Xue/X. Y. Xia;Paulikiene/Raupelyte
1;38;8;5;56;3;6;35;0;54;26.2;0.0;12.5;0.0;14.4;33.0;Paulikiene/Raupelyte;Xue/X. Y. Xia
7;31;6;5;44;1;10;25;6;57;26.2;0.0;12.5;0.0;14.4;24.0;Taiana Lima/Hegeile;Liliana/Paula
2;35;5;6;54;4;10;32;4;57;26.2;0.0;12.5;0.0;14.4;19.0;Liliana/Paula;Taiana Lima/Hegeile
5;26;1;5;41;1;6;23;4;44;25.9;0.0;9.1;0.0;12.6;17.0;Talita/Thamela;Ahtiainen/Lahti
7;24;4;4;36;2;4;14;4;51;25.9;0.0;9.1;0.0;12.6;24.0;Ahtiainen/Lahti;Talita/Thamela
8;27;4;0;42;3;4;25;5;52;25.9;0.0;9.1;0.0;12.6;27.0;Placette/Richard;Gottardi/Menegatti
7;28;6;5;44;3;8;17;0;54;25.9;0.0;9.1;0.0;12.6;25.0;Gottardi/Menegatti;Placette/Richard
5;22;2;1;40;2;13;27;3;43;25.9;0.0;9.1;0.0;12.6;13.0;Tainá/Victoria;Ludwig/Lippmann
10;24;9;3;37;2;11;20;1;51;25.9;0.0;9.1;0.0;12.6;16.0;Ludwig/Lippmann;Tainá/Victoria
9;26;9;1;39;0;3;20;5;51;25.9;0.0;9.1;0.0;12.6;18.0;Carro/Lobato;Esmée/Zoé
6;21;5;5;44;1;7;18;1;42;25.9;0.0;9.1;0.0;12.6;15.0;Esmée/Zoé;Carro/Lobato
9;33;5;6;46;1;1;23;3;58;26.2;0.0;12.5;0.0;14.4;23.0;Sliwka/Wachowicz;Kolinske/Harward
6;25;1;3;44;2;4;18;6;46;26.2;0.0;12.5;0.0;14.4;32.0;Kolinske/Harward;Sliwka/Wachowicz
8;34;3;1;42;4;8;22;4;63;24.5;0.0;28.5;0.0;44.6;32.0;Liliana/Paula;Paulikiene/Raupelyte
5;32;4;4;49;0;3;26;1;56;24.5;0.0;28.5;0.0;44.6;31.0;Paulikiene/Raupelyte;Liliana/Paula
11;26;2;3;36;1;3;18;2;56;25.1;0.0;34.0;0.0;43.2;23.0;Talita/Thamela;Gottardi/Menegatti
