Gender_x;Type;TournamentNo;SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;@LocalDate;@LocalTime;FederationCode_y;FirstName;LastName;FirstName2;LastName2;@TeamAName;@TeamBName;NoPlayer1_team;NoPlayer2_team;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@PointsTeamASet3;@PointsTeamBSet3;@DurationSet1;@DurationSet2;@DurationSet3;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;TeamDesignation;TeamNameFull
1;51;6867;9;29;7;5;44;1;5;19;1;47;2023-08-17;08:00:00;NZL;Olivia;MacDonald;Alice;Zeimann;Carol/Barbara;Zeimann/MacDonald;161082.0;142580.0;25.0;23.0;22.0;20.0;;;1318.0;1208.0;;16.4;1.9;15.0;1.9;25.6;16.0;0;B;Zeimann/MacDonald
1;51;6867;9;32;5;4;55;2;12;26;2;62;2023-08-17;09:00:00;CAN;Melissa;Humana-Paredes;Brandie;Wilkerson;Melissa/Brandie;Agatha/Rebecca;115287.0;132686.0;21.0;15.0;21.0;23.0;13.0;15.0;1002.0;1329.0;889.0;16.7;4.0;14.6;4.0;25.9;24.0;0;A;Melissa/Brandie
1;51;6867;10;36;8;2;53;0;4;27;4;65;2023-08-17;09:00:00;BRA;Rebecca Cavalcante Barbosa;Silva;Agatha;Bednarczuk;Melissa/Brandie;Agatha/Rebecca;124979.0;141868.0;21.0;15.0;21.0;23.0;13.0;15.0;1002.0;1329.0;889.0;16.7;4.0;14.6;4.0;25.9;23.0;1;B;Agatha/Rebecca
1;51;6867;7;31;2;2;52;5;18;30;2;60;2023-08-17;09:00:00;CHN;Xinyi;Xia;Chen;Xue;Xue/X. Y. Xia;Ludwig/Lippmann;104438.0;141784.0;21.0;13.0;19.0;21.0;12.0;15.0;952.0;1220.0;838.0;16.7;4.0;14.6;4.0;25.9;23.0;0;A;Xue/X. Y. Xia
1;51;6867;12;37;6;2;49;6;13;37;2;71;2023-08-17;09:00:00;GER;Laura;Ludwig;Louisa;Lippmann;Xue/X. Y. Xia;Ludwig/Lippmann;104461.0;141678.0;21.0;13.0;19.0;21.0;12.0;15.0;952.0;1220.0;838.0;16.7;4.0;14.6;4.0;25.9;19.0;1;B;Ludwig/Lippmann
1;51;6867;4;24;0;2;43;3;8;34;4;45;2023-08-17;10:00:00;USA;Taryn;Brasher;Kristen;Nuss;Nuss/Brasher;Ittlinger/Borger;135670.0;119108.0;23.0;21.0;21.0;17.0;;;1351.0;1088.0;;16.4;4.5;12.6;4.5;24.5;20.0;1;A;Nuss/Brasher
1;51;6867;8;29;8;4;39;0;2;26;2;60;2023-08-17;10:00:00;GER;Karla;Borger;Sandra;Ittlinger;Nuss/Brasher;Ittlinger/Borger;162432.0;184611.0;23.0;21.0;21.0;17.0;;;1351.0;1088.0;;16.4;4.5;12.6;4.5;24.5;18.0;0;B;Ittlinger/Borger
1;51;6867;4;29;6;2;42;2;7;21;2;45;2023-08-17;10:00:00;SUI;Tanja;Hüberli;Nina;Brunner;Hüberli/Brunner;Placette/Richard;132614.0;135579.0;22.0;20.0;21.0;11.0;;;1261.0;1020.0;;16.4;4.5;12.6;4.5;24.5;14.0;1;A;Hüberli/Brunner
1;51;6867;4;19;7;2;32;1;4;14;2;43;2023-08-17;10:00:00;FRA;Alexia;Richard;Lézana;Placette;Hüberli/Brunner;Placette/Richard;147741.0;145563.0;22.0;20.0;21.0;11.0;;;1261.0;1020.0;;16.4;4.5;12.6;4.5;24.5;24.0;0;B;Placette/Richard
1;51;6867;3;23;5;10;40;2;6;15;2;33;2023-08-17;11:00:00;GER;Cinja;Tillmann;Svenja;Müller;Müller/Tillmann;Naraphornrapat/Worapeerachayakorn;138962.0;150542.0;21.0;14.0;21.0;9.0;;;947.0;865.0;;16.5;4.1;14.8;4.1;25.2;15.0;1;A;Müller/Tillmann
1;51;6867;5;12;3;2;25;2;10;9;10;29;2023-08-17;11:00:00;THA;Taravadee;Naraphornrapat;Worapeerachayakorn;Kongphopsarutawadee;Müller/Tillmann;Naraphornrapat/Worapeerachayakorn;153267.0;125549.0;21.0;14.0;21.0;9.0;;;947.0;865.0;;16.5;4.1;14.8;4.1;25.2;9.0;0;B;Naraphornrapat/Worapeerachayakorn
1;51;6867;7;33;4;0;46;4;11;16;6;58;2023-08-17;11:00:00;USA;Sara;Hughes;Kelly;Cheng;Hughes/Cheng;Gottardi/Menegatti;135571.0;140066.0;11.0;21.0;21.0;16.0;15.0;11.0;915.0;1073.0;801.0;16.5;4.1;14.8;4.1;25.2;25.0;1;A;Hughes/Cheng
1;51;6867;9;31;4;6;49;5;13;23;0;54;2023-08-17;11:00:00;ITA;Marta;Menegatti;Valentina;Gottardi;Hughes/Cheng;Gottardi/Menegatti;181183.0;118204.0;11.0;21.0;21.0;16.0;15.0;11.0;915.0;1073.0;801.0;16.5;4.1;14.8;4.1;25.2;23.0;0;B;Gottardi/Menegatti
1;51;6867;11;46;2;2;63;5;10;30;4;73;2023-08-17;16:00:00;BRA;Ana Patricia;Silva Ramos;Eduarda;Santos Lisboa;Ana Patrícia/Duda;Carol/Barbara;104079.0;104505.0;25.0;27.0;21.0;14.0;18.0;16.0;1518.0;955.0;1063.0;17.9;0.3;16.6;0.3;32.4;38.0;1;A;Ana Patrícia/Duda
1;51;6867;12;39;4;4;58;2;5;22;1;72;2023-08-17;16:00:00;BRA;Barbara;Seixas de Freitas;Carolina;Solberg Salgado;Ana Patrícia/Duda;Carol/Barbara;104079.0;104505.0;25.0;27.0;21.0;14.0;18.0;16.0;1518.0;955.0;1063.0;17.9;0.3;16.6;0.3;32.4;38.0;0;B;Carol/Barbara
